faculty,phase,term,gender,race,grade,count
1,1a,Fall 2016,men,nonURM,A,5
1,1a,Fall 2016,men,nonURM,B,3
1,1a,Fall 2016,men,nonURM,C,5
1,1a,Fall 2016,men,nonURM,D,1
1,1a,Fall 2016,men,nonURM,F,1
1,1a,Fall 2016,men,nonURM,W,1
1,1a,Fall 2016,women,nonURM,A,3
1,1a,Fall 2016,women,nonURM,C,2
1,1a,Fall 2016,women,nonURM,W,1
1,1b,Fall 2017,men,hispanic,D,1
1,1b,Fall 2017,men,nonURM,A,2
1,1b,Fall 2017,men,nonURM,B,3
1,1b,Fall 2017,men,nonURM,C,2
1,1b,Fall 2017,men,nonURM,D,3
1,1b,Fall 2017,men,nonURM,F,2
1,1b,Fall 2017,men,nonURM,W,2
1,1b,Fall 2017,women,nonURM,A,2
1,1b,Fall 2017,women,nonURM,B,1
1,1b,Fall 2017,women,nonURM,C,1
1,2a,Fall 2018,men,black,B,2
1,2a,Fall 2018,men,nonURM,A,5
1,2a,Fall 2018,men,nonURM,B,3
1,2a,Fall 2018,men,nonURM,C,3
1,2a,Fall 2018,men,nonURM,W,1
1,2a,Fall 2018,women,black,B,1
1,2a,Fall 2018,women,nonURM,A,1
1,2a,Fall 2018,women,nonURM,B,3
1,2a,Fall 2018,women,nonURM,C,1
1,3a,Fall 2019,men,nonURM,A,4
1,3a,Fall 2019,men,nonURM,B,3
1,3a,Fall 2019,men,nonURM,C,4
1,3a,Fall 2019,men,nonURM,F,1
1,3a,Fall 2019,women,nonURM,A,1
1,3a,Fall 2019,women,nonURM,B,2
1,3a,Fall 2019,women,nonURM,C,5
2,1a,Fall 2017,men,black,B,2
2,1a,Fall 2017,men,hispanic,B,1
2,1a,Fall 2017,men,nonURM,A,4
2,1a,Fall 2017,men,nonURM,B,9
2,1a,Fall 2017,men,nonURM,C,7
2,1a,Fall 2017,men,nonURM,D,4
2,1a,Fall 2017,men,nonURM,F,3
2,1a,Fall 2017,men,nonURM,W,2
2,1a,Fall 2017,women,black,A,1
2,1a,Fall 2017,women,nonURM,A,8
2,1a,Fall 2017,women,nonURM,B,1
2,1a,Fall 2017,women,nonURM,D,2
2,1a,Fall 2017,women,nonURM,W,2
2,1b,Spring 2018,men,nonURM,A,11
2,1b,Spring 2018,men,nonURM,B,11
2,1b,Spring 2018,men,nonURM,C,4
2,1b,Spring 2018,men,nonURM,D,2
2,1b,Spring 2018,men,nonURM,F,1
2,1b,Spring 2018,men,nonURM,W,5
2,1b,Spring 2018,women,hispanic,B,1
2,1b,Spring 2018,women,hispanic,D,1
2,1b,Spring 2018,women,nonURM,A,7
2,1b,Spring 2018,women,nonURM,B,1
2,2a,Fall 2018,men,nonURM,A,7
2,2a,Fall 2018,men,nonURM,B,11
2,2a,Fall 2018,men,nonURM,C,4
2,2a,Fall 2018,men,nonURM,D,3
2,2a,Fall 2018,men,nonURM,W,1
2,2a,Fall 2018,women,nonURM,A,2
2,2a,Fall 2018,women,nonURM,B,4
2,2a,Fall 2018,women,nonURM,C,1
2,3a,Spring 2019,men,hispanic,D,1
2,3a,Spring 2019,men,nonURM,A,6
2,3a,Spring 2019,men,nonURM,B,6
2,3a,Spring 2019,men,nonURM,C,1
2,3a,Spring 2019,men,nonURM,D,2
2,3a,Spring 2019,men,nonURM,F,1
2,3a,Spring 2019,men,nonURM,W,3
2,3a,Spring 2019,women,black,C,1
2,3a,Spring 2019,women,black,W,1
2,3a,Spring 2019,women,nonURM,A,2
2,3a,Spring 2019,women,nonURM,B,7
2,3a,Spring 2019,women,nonURM,C,1
2,3a,Spring 2019,women,nonURM,W,1
3,1a,Fall 2017,men,hispanic,W,1
3,1a,Fall 2017,men,nonURM,A,9
3,1a,Fall 2017,men,nonURM,B,2
3,1a,Fall 2017,men,nonURM,C,1
3,1a,Fall 2017,men,nonURM,F,1
3,1a,Fall 2017,men,nonURM,W,5
3,1a,Fall 2017,women,hispanic,C,1
3,1a,Fall 2017,women,hispanic,D,1
3,1a,Fall 2017,women,nonURM,A,4
3,1a,Fall 2017,women,nonURM,C,2
3,1b,Spring 2018,men,hispanic,W,1
3,1b,Spring 2018,men,nonURM,A,2
3,1b,Spring 2018,men,nonURM,B,4
3,1b,Spring 2018,men,nonURM,C,2
3,1b,Spring 2018,men,nonURM,W,2
3,1b,Spring 2018,women,amerind,B,1
3,1b,Spring 2018,women,hispanic,W,1
3,1b,Spring 2018,women,nonURM,C,1
3,1b,Spring 2018,women,nonURM,W,1
3,2a,Fall 2018,men,black,C,1
3,2a,Fall 2018,men,hispanic,A,1
3,2a,Fall 2018,men,hispanic,B,1
3,2a,Fall 2018,men,hispanic,D,1
3,2a,Fall 2018,men,hispanic,W,3
3,2a,Fall 2018,men,natpac,W,1
3,2a,Fall 2018,men,nonURM,A,3
3,2a,Fall 2018,men,nonURM,B,7
3,2a,Fall 2018,men,nonURM,C,3
3,2a,Fall 2018,men,nonURM,W,5
3,2a,Fall 2018,women,black,A,1
3,2a,Fall 2018,women,hispanic,B,1
3,2a,Fall 2018,women,hispanic,W,4
3,2a,Fall 2018,women,nonURM,A,2
3,2a,Fall 2018,women,nonURM,C,1
3,2a,Fall 2018,women,nonURM,W,3
3,3a,Spring 2019,men,amerind,W,1
3,3a,Spring 2019,men,black,W,1
3,3a,Spring 2019,men,hispanic,W,1
3,3a,Spring 2019,men,nonURM,A,3
3,3a,Spring 2019,men,nonURM,B,2
3,3a,Spring 2019,men,nonURM,C,2
3,3a,Spring 2019,men,nonURM,D,1
3,3a,Spring 2019,women,hispanic,A,1
3,3a,Spring 2019,women,hispanic,W,1
3,3a,Spring 2019,women,nonURM,A,1
3,3a,Spring 2019,women,nonURM,W,1
3,3b,Fall 2019,men,amerind,A,1
3,3b,Fall 2019,men,black,D,1
3,3b,Fall 2019,men,hispanic,A,1
3,3b,Fall 2019,men,nonURM,A,6
3,3b,Fall 2019,men,nonURM,B,4
3,3b,Fall 2019,men,nonURM,C,2
3,3b,Fall 2019,men,nonURM,D,1
3,3b,Fall 2019,men,nonURM,F,1
3,3b,Fall 2019,men,nonURM,W,3
3,3b,Fall 2019,women,hispanic,B,1
3,3b,Fall 2019,women,hispanic,F,1
3,3b,Fall 2019,women,nonURM,A,4
3,3b,Fall 2019,women,nonURM,W,1
4,1a,Fall 2015,men,black,D,3
4,1a,Fall 2015,men,black,F,4
4,1a,Fall 2015,men,black,W,2
4,1a,Fall 2015,men,hispanic,A,1
4,1a,Fall 2015,men,hispanic,B,1
4,1a,Fall 2015,men,hispanic,D,2
